Brand,Model,Range,Price,Battery_Capacity,Charging_Speed,Acceleration,Top_Speed,Seating_Capacity,Launch_Date,Date,Sales
Volkswagen,EQS,301.0,64172.618195619805,65.57309097809903,135.8220514617045,5.550952116181152,144.69169615695623,2.0,2020-07-12 00:00:00,2020-07-12 00:00:00,117.0
Ford,Silverado EV,334.0,55756.5904470489,72.64295223524448,247.12412073833792,5.717193757945853,139.03589457859312,5.0,2016-12-23 00:00:00,2016-12-23 00:00:00,60.0
Nissan,I-PACE,317.0,61331.00358718584,50.5300179359292,164.3896737079325,3.976939458969399,129.93673299963834,5.0,2018-07-25 00:00:00,2018-07-25 00:00:00,89.0
Kia,Air,345.0,65417.76960150929,74.41384800754645,70.93911403971508,6.514772921156662,131.87824247988166,5.0,2017-01-01 00:00:00,2017-01-01 00:00:00,74.0
Lucid,Kona,398.0,95561.8602939764,74.9947603971053,131.34189700302622,4.104035642015923,165.5484789952681,5.0,2015-08-18 00:00:00,2018-10-05 00:00:00,93.0
Mercedes-Benz,e-tron,299.0,73945.4993068502,69.03249653425098,204.3539418529583,4.31783310213976,127.31241955570184,7.0,2017-08-23 00:00:00,2017-08-23 00:00:00,82.0
Volkswagen,EQS,330.0,75518.93452582002,77.37467262910006,135.2267439275637,5.895894803873462,124.0711619510636,5.0,2021-03-30 00:00:00,2021-03-30 00:00:00,122.0
Nissan,Mach-E,316.0,45488.005680318085,62.71502840159044,150.38357929912613,5.962902205416429,139.28395412206797,5.0,2021-08-25 00:00:00,2021-08-25 00:00:00,97.0
Lucid,e-tron,300.0,68972.6352913672,96.968176456836,148.27057398914243,5.368806459787622,138.63655644755747,5.0,2021-09-17 00:00:00,2021-09-17 00:00:00,111.0
Ford,Model Y,330.0,50746.1263122099,75.27563156104948,28.320209017598174,5.819949818387257,103.35738234917652,5.0,2023-02-06 00:00:00,2023-02-06 00:00:00,123.0
Tesla,I-PACE,286.0,80859.3659363608,63.451829681804,129.6433769180612,5.7727082778655,138.77539762729342,5.0,2016-09-18 00:00:00,2016-09-18 00:00:00,103.0
Lucid,I-PACE,316.0,43122.545505554735,54.11272752777366,127.25702657172288,4.25727466176964,102.4793571302804,5.0,2022-10-23 00:00:00,2022-10-23 00:00:00,124.0
Polestar,EQE,234.0,50850.96975554916,75.70984877774579,232.53788000128293,4.576165580594513,131.21384796668747,7.0,2022-06-08 00:00:00,2022-06-08 00:00:00,91.0
Volkswagen,i3,273.0,38319.3498914184,74.9947603971053,216.3325329936084,6.993212621634448,135.58103272496524,4.0,2018-09-11 00:00:00,2018-09-11 00:00:00,95.0
Polestar,2,352.0,56305.55613396627,80.34278066983133,90.80241082278636,4.364505188574015,118.07454736533415,5.0,2021-04-22 00:00:00,2021-04-22 00:00:00,44.0
Lucid,F-150 Lightning,350.0,60767.541860080506,104.78270930040252,75.56677868251958,3.900587324590554,92.1891919140734,5.0,2016-06-22 00:00:00,2016-06-22 00:00:00,84.0
Audi,F-150 Lightning,312.0,64166.59246630452,105.1079623315226,185.8021357736457,4.983718268158304,140.74739215492409,4.0,2020-01-08 00:00:00,2020-01-08 00:00:00,117.0
Polestar,R1T,277.0,35869.43025917163,55.81215129585817,150.50704526788195,4.983718268158304,76.40708505946294,5.0,2021-07-06 00:00:00,2021-07-06 00:00:00,172.0
Rivian,Mach-E,341.0,83939.92355697356,52.63961778486781,158.5468516677754,5.137514165054438,145.431426792491,5.0,2021-12-31 00:00:00,2021-12-31 00:00:00,167.0
Rivian,e-tron,361.0,60048.82232928101,63.45411164640509,91.88899726309108,4.840532084669533,160.5886932218847,5.0,2022-12-08 00:00:00,2022-12-08 00:00:00,145.0
Volvo,Niro,279.0,49343.04723581836,85.58023617909181,146.75827902227024,4.780116106721693,91.25975124799945,5.0,2017-08-29 00:00:00,2017-08-29 00:00:00,71.0
Jaguar,Model Y,227.0,69263.01828204068,80.85009141020338,115.61329579427638,3.844223151734105,126.10926138770004,5.0,2023-04-13 00:00:00,2023-04-13 00:00:00,139.0
Lucid,Ariya,322.0,108479.36420161292,90.16182100806456,93.16333094883512,4.534520778793274,156.29123268526538,5.0,2019-12-05 00:00:00,2019-12-05 00:00:00,119.0
Lucid,I-PACE,345.0,53308.11962964437,59.465598148221886,132.60244649738968,4.907692942397197,95.31910421206442,4.0,2017-12-18 00:00:00,2017-12-18 00:00:00,62.0
Polestar,e-tron,329.0,52674.414947017576,48.39207473508789,140.86590501924516,5.31799419558587,110.91931374392274,4.0,2022-04-30 00:00:00,2022-04-30 00:00:00,120.0
Mercedes-Benz,Bolt,378.0,60155.71905124431,66.12943562369774,88.49949669586958,4.374577382065864,115.8886588266642,7.0,2020-06-02 00:00:00,2020-06-02 00:00:00,139.0
Mercedes-Benz,EV6,378.0,82799.7603245395,83.7988016226975,130.73580877000808,4.982672560392453,175.9241190188169,5.0,2023-04-27 00:00:00,2023-04-27 00:00:00,118.0
Volvo,Q4 e-tron,284.0,77992.02339640346,77.42511698201726,114.94839554654465,4.626686867355613,137.62081056777797,5.0,2022-11-17 00:00:00,2022-11-17 00:00:00,198.0
Mercedes-Benz,Air,309.0,63708.78737930307,93.68393689651532,140.1786532591304,4.844588970221417,143.786847938148,5.0,2023-06-18 00:00:00,2023-06-18 00:00:00,116.0
Chevrolet,2,275.0,46596.19419134452,64.32097095672259,129.2250475942509,5.763281153320748,150.72736031514256,4.0,2017-03-21 00:00:00,2017-03-21 00:00:00,17.0
Lucid,EV6,248.0,68465.67375640619,89.93336878203095,233.3813285183564,2.7579424315538743,177.92534506663822,5.0,2018-12-29 00:00:00,2018-12-29 00:00:00,84.0
Hyundai,e-tron,251.0,68071.69706639159,65.89348533195796,161.5197056746098,3.786156072720796,126.0895047130078,5.0,2015-03-25 00:00:00,2015-03-25 00:00:00,20.0
BMW,i3,335.0,96915.08197231696,86.67540986158481,125.61321299045356,4.075355458168668,198.37435873319103,4.0,2022-11-25 00:00:00,2022-11-25 00:00:00,53.0
Audi,Ariya,315.0,52134.432024432586,86.42716012216293,199.68972503556904,5.292085318104771,129.93673299963834,2.0,2015-08-21 00:00:00,2015-08-21 00:00:00,72.0
Chevrolet,iX,344.0,60155.71905124431,98.63703119975776,45.13534756431672,4.82766221269199,181.0778970839726,5.0,2021-11-27 00:00:00,2021-11-27 00:00:00,29.0
Ford,Kona,426.0,70697.77349578809,54.913867478940446,178.08976761361626,4.127582315078677,118.83491820321387,7.0,2015-08-18 00:00:00,2021-06-09 00:00:00,136.0
Chevrolet,Ariya,324.0,31863.956729584424,95.74978364792211,160.176523081176,5.872662863504507,94.49710135512731,7.0,2023-02-09 00:00:00,2023-02-09 00:00:00,25.0
Hyundai,Silverado EV,260.0,87781.93667363303,81.68968336816515,164.6924625374887,4.983718268158304,165.96797802441333,5.0,2017-11-09 00:00:00,2017-11-09 00:00:00,91.0
Ford,XC40 Recharge,351.0,71230.02509090322,75.9051254545161,123.86182806288616,4.012588209099253,111.391824702256,7.0,2015-08-18 00:00:00,2016-04-01 00:00:00,87.0
Audi,Bolt,259.0,67635.99869963132,72.99999349815658,191.84539805288665,5.422590297634169,124.19770785730978,5.0,2019-01-14 00:00:00,2019-01-14 00:00:00,98.0
Hyundai,ID.Buzz,387.0,87407.63525260094,73.90817626300469,167.34513237650316,5.207436764357754,132.72023672223932,5.0,2015-08-18 00:00:00,2021-06-14 00:00:00,42.0
Nissan,Ariya,299.0,62139.27446736636,75.59137233683178,193.253277290601,5.626115931109169,124.3069937149418,5.0,2019-04-03 00:00:00,2019-04-03 00:00:00,117.0
BMW,EQE,272.0,33033.62597793527,50.86812988967637,106.20027336639208,5.722365156781831,98.3187641882792,2.0,2023-02-03 00:00:00,2023-02-03 00:00:00,45.0
Polestar,Mach-E,331.0,77325.1183642297,78.6605918211485,205.5770894359292,5.000549330618434,203.19936424378332,7.0,2020-07-24 00:00:00,2020-07-24 00:00:00,106.0
Lucid,Ariya,358.0,76186.30709162017,77.27153545810086,123.48607828836114,5.021027391627818,151.49548006371364,5.0,2022-06-06 00:00:00,2022-06-06 00:00:00,108.0
Mercedes-Benz,I-PACE,266.0,21229.20715812163,65.13103579060815,76.36952282339482,6.697237530270293,62.262039622593626,4.0,2015-12-19 00:00:00,2015-12-19 00:00:00,57.0
Nissan,EQE,299.0,89118.55057874773,75.49275289373863,150.38357929912613,5.909030077334267,162.3194991294542,7.0,2021-05-25 00:00:00,2021-05-25 00:00:00,129.0
Jaguar,Ioniq 5,307.0,56462.95168873916,91.5497584436958,191.46500301317124,6.138329703260728,75.58817767613989,5.0,2023-01-12 00:00:00,2023-01-12 00:00:00,160.0
Audi,EV6,395.0,87566.55565471134,65.77777827355668,150.38357929912613,3.040584545875817,173.17341861903594,5.0,2021-02-10 00:00:00,2021-02-10 00:00:00,136.0
Jaguar,Q4 e-tron,223.0,42161.56387236179,57.912819361808936,149.01727860735855,4.870945683582171,129.25558758404426,5.0,2022-05-11 00:00:00,2022-05-11 00:00:00,199.0
Ford,F-150 Lightning,284.0,45566.9206793612,64.15960339680599,199.45706998398987,7.002591320947293,86.78646687506193,5.0,2016-10-10 00:00:00,2016-10-10 00:00:00,80.0
Nissan,XC40 Recharge,313.0,53461.52319729097,43.70261598645486,212.04124058698304,3.5398907036194385,132.10359075730514,5.0,2018-11-18 00:00:00,2018-11-18 00:00:00,112.0
BMW,I-PACE,260.0,103806.12858955048,101.86064294775244,150.38357929912613,3.692551587921481,168.29153372701978,4.0,2018-12-22 00:00:00,2018-12-22 00:00:00,31.0
Lucid,ID.Buzz,260.0,93763.842872374,62.52921436187002,69.70006189318467,6.217588482382041,147.99140842120357,5.0,2019-09-13 00:00:00,2019-09-13 00:00:00,91.0
Volvo,Q4 e-tron,288.0,51897.2733374192,93.94136668709602,150.38357929912613,3.993918319277238,151.21328055913696,5.0,2023-11-01 00:00:00,2023-11-01 00:00:00,192.0
Lucid,e-tron,314.0,82624.61815540335,56.39309077701674,164.22016433025195,3.763441465138812,142.8317196268256,5.0,2016-08-15 00:00:00,2016-08-15 00:00:00,72.0
Hyundai,EQE,290.0,57610.994262786415,65.71997131393208,166.36175765268663,4.947590831079312,133.857342773841,5.0,2015-06-29 00:00:00,2015-06-29 00:00:00,20.0
Lucid,ID.4,373.0,60155.71905124431,75.96138975070818,150.03936335619127,2.699628229473802,170.92135386348085,5.0,2017-05-01 00:00:00,2017-05-01 00:00:00,90.0
Polestar,Leaf,329.0,87888.86193520282,74.9947603971053,150.38357929912613,5.291266154738271,185.48341869141308,7.0,2018-04-30 00:00:00,2018-04-30 00:00:00,35.0
Kia,EQS,319.0,67271.79503198448,73.95397515992238,119.54548311423538,5.385823035100511,132.01812702799614,5.0,2023-11-28 00:00:00,2023-11-28 00:00:00,133.0
Volvo,e-tron,351.0,62108.40620236826,51.9070310118413,184.51013217095584,6.104383703897075,118.92057524116044,2.0,2015-05-21 00:00:00,2015-05-21 00:00:00,87.0
Chevrolet,Model 3,320.0,74000.53491515,74.16767457574998,-4.964294872415792,3.124532141558713,143.84527191714977,5.0,2023-11-05 00:00:00,2023-11-05 00:00:00,34.0
Mercedes-Benz,Niro,277.0,71147.87332436876,93.88936662184382,64.74044206773098,5.300728325649639,115.2337557438951,7.0,2019-11-05 00:00:00,2019-11-05 00:00:00,111.0
Tesla,Mach-E,286.0,37524.23640421235,79.88618202106176,150.38357929912613,5.424477873302555,145.99478449121776,5.0,2017-09-03 00:00:00,2017-09-03 00:00:00,114.0
BMW,Niro,243.0,65103.129980985184,108.2356499049259,49.25438739525964,3.322263085879719,164.74012602732898,5.0,2017-01-24 00:00:00,2017-01-24 00:00:00,31.0
Nissan,EQE,400.0,57480.24239505024,77.57121197525119,142.85759949764824,7.026020287854365,123.21207346554144,5.0,2021-02-02 00:00:00,2021-02-02 00:00:00,104.0
Kia,Leaf,346.0,57045.692156785866,90.19846078392932,178.01648461254246,4.068985601481351,111.51425044629514,5.0,2021-02-28 00:00:00,2021-02-28 00:00:00,161.0
BMW,EV6,299.0,71066.65609872571,82.87828049362855,176.2445684960519,5.220432396761093,131.43643382680918,2.0,2017-07-11 00:00:00,2017-07-11 00:00:00,35.0
Nissan,I-PACE,366.0,68774.10433632506,65.50052168162536,89.06934180066317,4.478113640363962,116.13183119853429,5.0,2022-01-16 00:00:00,2022-01-16 00:00:00,119.0
Mercedes-Benz,Kona,226.0,60155.71905124431,74.07509061340726,64.39334182760292,5.913425201119792,101.21228893777892,5.0,2017-07-30 00:00:00,2017-07-30 00:00:00,89.0
Volkswagen,ID.Buzz,326.0,41700.17778577448,91.6908889288724,158.25781486196146,4.8268490609478985,100.39473457088164,5.0,2019-03-10 00:00:00,2019-03-10 00:00:00,88.0
Volkswagen,R1T,189.0,60155.71905124431,69.79582390901574,175.63167242565817,6.42791510253069,129.93673299963834,5.0,2021-10-10 00:00:00,2021-10-10 00:00:00,118.0
Jaguar,Model 3,278.0,57809.5340121363,80.99267006068148,178.95411162721575,6.593780954037984,149.98820612922975,5.0,2015-09-01 00:00:00,2015-09-01 00:00:00,93.0
BMW,Air,367.0,98553.04656959094,65.6802328479547,79.0350218984357,4.354288466759036,166.31971470932524,4.0,2017-05-21 00:00:00,2017-05-21 00:00:00,26.0
Volkswagen,e-tron,369.0,48705.41533410698,74.9947603971053,191.39369795144756,3.595683338851237,128.80857030263948,5.0,2023-01-13 00:00:00,2023-01-13 00:00:00,108.0
Polestar,Kona,315.0,67643.09510064722,76.24047550323611,159.0330876256438,3.627192140626122,131.33624463845032,7.0,2018-10-11 00:00:00,2018-10-11 00:00:00,41.0
Volvo,Model 3,339.0,74636.0607765738,87.97030388286896,100.1897417038266,6.500310016906546,122.59086737386156,5.0,2022-08-05 00:00:00,2022-08-05 00:00:00,155.0
Nissan,F-150 Lightning,229.0,81088.01226798935,93.68006133994676,118.65951691654588,5.156130380698221,140.81122628047916,5.0,2020-07-01 00:00:00,2020-07-01 00:00:00,91.0
Jaguar,Niro,326.0,67111.75589301744,85.0737794650872,105.44312494446906,4.662594042990444,124.56682411290758,5.0,2015-01-19 00:00:00,2015-01-19 00:00:00,89.0
Lucid,i3,342.0,71817.06660107906,72.29033300539528,109.37431749996595,5.857838053291405,160.9487713395331,5.0,2017-03-07 00:00:00,2017-03-07 00:00:00,90.0
Nissan,2,428.0,95953.98072466844,72.56490362334215,204.8355977305838,3.9785946972346977,192.247893418063,5.0,2016-08-21 00:00:00,2016-08-21 00:00:00,91.0
Jaguar,Q4 e-tron,268.0,34941.07242303489,43.41536211517446,176.04317947861614,6.397675526180379,79.36923581605502,5.0,2023-12-27 00:00:00,2023-12-27 00:00:00,217.0
Mercedes-Benz,EV6,300.0,77109.00745715157,81.4250372857579,94.56916558903686,2.754875682446535,144.24351539159565,5.0,2017-08-20 00:00:00,2017-08-20 00:00:00,66.0
BMW,Ioniq 5,303.0,35568.3152724656,90.74157636232802,127.4076478524468,5.071550897067081,104.87979272374729,5.0,2016-10-20 00:00:00,2021-06-14 00:00:00,26.0
Mercedes-Benz,Q4 e-tron,334.0,60968.66446935993,56.42832234679966,180.06126127678925,4.138782605756577,119.93493643244835,5.0,2017-11-02 00:00:00,2017-11-02 00:00:00,64.0
Volvo,i3,344.0,60155.71905124431,72.65087449805772,48.68924321714864,3.598257959363568,121.4778192751202,7.0,2015-08-18 00:00:00,2022-04-10 00:00:00,135.0
Volvo,e-tron,353.0,50326.315609749385,72.3465780487469,179.94450052229325,4.500034197132432,120.46837331370403,5.0,2015-12-10 00:00:00,2015-12-10 00:00:00,70.0
Kia,EV6,349.0,85738.52016905659,81.95760084528297,248.9073102003302,4.320222125370314,131.09166579229844,5.0,2021-10-02 00:00:00,2021-10-02 00:00:00,143.0
Mercedes-Benz,ID.Buzz,225.0,73510.00799554276,77.2000399777138,165.75797888358932,4.136958535179622,146.64981611680997,5.0,2019-04-30 00:00:00,2019-04-30 00:00:00,92.0
Hyundai,iX,169.0,65544.20861079611,61.32104305398051,140.82950551074097,5.380971911608111,142.54573851946003,5.0,2019-05-04 00:00:00,2019-05-04 00:00:00,33.0
Lucid,2,274.0,69827.63495665188,74.9947603971053,74.01406007984,4.9031551618957,115.21745782434344,5.0,2015-08-18 00:00:00,2018-01-11 00:00:00,59.0
Audi,Model Y,298.0,30142.989842619463,49.97494921309732,34.831473156749,5.090787188532891,128.14008888991563,5.0,2016-07-04 00:00:00,2016-07-04 00:00:00,77.0
Mercedes-Benz,i3,269.0,48501.74415745953,65.90872078729765,150.38357929912613,6.390127327375371,116.19007997793686,5.0,2016-07-12 00:00:00,2016-07-12 00:00:00,65.0
Kia,Ariya,277.0,73821.73185015157,55.023659250757845,174.60759888405423,5.475050665501382,170.98418539675575,4.0,2022-06-13 00:00:00,2022-06-13 00:00:00,142.0
Ford,Q4 e-tron,299.0,79220.21085153022,80.3360542576511,141.89357020901437,4.97850882565338,152.64057034863822,5.0,2015-12-13 00:00:00,2015-12-13 00:00:00,83.0
Polestar,Silverado EV,328.0,88126.20345939974,81.96601729699869,211.32462979135772,3.2062626053049232,157.8323887497874,5.0,2015-08-18 00:00:00,2022-06-30 00:00:00,41.0
Nissan,Mach-E,248.0,60730.73387147856,73.2486693573928,150.38357929912613,5.317059661462355,150.44087791732454,2.0,2016-06-28 00:00:00,2016-06-28 00:00:00,74.0
Volvo,Mach-E,296.0,52323.33371479724,56.8116685739862,110.12303195169731,5.779713821190124,128.15558790940344,4.0,2016-11-19 00:00:00,2016-11-19 00:00:00,80.0
Ford,Ioniq 5,296.0,17492.0787304605,61.0103936523025,212.91047833311927,6.692293147077265,62.63747755853481,5.0,2023-12-15 00:00:00,2023-12-15 00:00:00,117.0
Polestar,iX,327.0,82628.60469601519,88.38302348007593,179.58105009259722,4.105585035628872,154.4338591677561,4.0,2016-01-29 00:00:00,2016-01-29 00:00:00,67.0
Polestar,I-PACE,358.0,63577.7123044387,73.80356152219349,71.07691469464383,6.152458041500557,142.6425301881613,4.0,2023-08-27 00:00:00,2023-08-27 00:00:00,174.0
Audi,Leaf,384.0,41959.79860820108,68.17899304100541,100.3723292254334,6.463657426777751,98.69338841750944,4.0,2019-09-04 00:00:00,2019-09-04 00:00:00,114.0
Lucid,Q4 e-tron,262.0,69364.31276656606,64.55156383283031,125.44112901513137,6.369709736104619,164.87850525264946,5.0,2022-09-29 00:00:00,2022-09-29 00:00:00,130.0
Lucid,Bolt,200.0,78031.30544761497,74.9947603971053,238.30033214270068,3.328907754200289,143.21603527674063,5.0,2021-03-20 00:00:00,2021-03-20 00:00:00,92.0
Lucid,Ioniq 5,287.0,77753.10204174703,83.54051020873511,187.00531507035188,4.253890327655742,151.21660311319675,7.0,2022-02-01 00:00:00,2022-02-01 00:00:00,136.0
Polestar,Ariya,220.0,64763.739631847886,71.32869815923944,98.46896369275092,4.983718268158304,133.01816887651543,5.0,2017-11-29 00:00:00,2017-11-29 00:00:00,41.0
Audi,i3,436.0,93566.49240408425,81.49246202042116,308.4165381257577,3.517767956593874,182.27546959755065,5.0,2015-08-18 00:00:00,2015-08-11 00:00:00,81.0
Polestar,R1T,256.0,-3701.238231733256,51.55880884133372,189.30439106256276,4.888720414051377,82.79945974675658,5.0,2020-12-19 00:00:00,2020-12-19 00:00:00,50.0
Volvo,XC40 Recharge,328.0,100626.0985223444,92.01549261172208,90.65496505242888,3.119744673038274,168.09319361281771,5.0,2015-12-03 00:00:00,2015-12-03 00:00:00,91.0
Polestar,ID.Buzz,346.0,48651.120190564856,74.43060095282426,135.1157675142259,5.873342076759019,101.94970008019293,7.0,2021-09-16 00:00:00,2021-09-16 00:00:00,33.0
Tesla,Model Y,317.0,44677.94968018968,60.28974840094839,124.13245641974906,4.870653559337528,129.93673299963834,5.0,2018-10-26 00:00:00,2018-10-26 00:00:00,128.0
Audi,ID.4,403.0,62199.57480331253,81.61287401656263,107.9890928926038,3.801468681050369,124.59815052927549,5.0,2018-05-03 00:00:00,2018-05-03 00:00:00,104.0
Hyundai,Ioniq 5,289.0,60155.71905124431,77.71263062933583,215.16593151665663,7.1598939142070535,123.81279904206824,5.0,2021-12-03 00:00:00,2021-12-03 00:00:00,26.0
Audi,2,258.0,82437.63314828745,58.14816574143725,143.6286111942352,4.9130628574168425,148.85776279397555,5.0,2023-03-05 00:00:00,2023-03-05 00:00:00,145.0
Kia,EQS,299.0,66011.3500867577,73.1767504337885,196.4714292802107,3.7887219895596127,130.55402517635125,5.0,2021-08-14 00:00:00,2021-08-14 00:00:00,91.0
Tesla,EV6,337.0,48575.67539167755,67.23337695838775,143.78878580092504,4.983718268158304,102.71425791938552,4.0,2021-11-18 00:00:00,2021-11-18 00:00:00,91.0
Lucid,R1T,290.0,44652.7891576447,55.98394578822352,132.04036629070495,5.497888415314429,84.49389743096344,5.0,2016-04-13 00:00:00,2016-04-13 00:00:00,68.0
Kia,Silverado EV,255.0,104122.18587124551,68.67592935622766,120.13771233925264,3.815805771445996,171.8643195480916,4.0,2018-08-30 00:00:00,2018-08-30 00:00:00,138.0
Kia,EQS,322.0,66124.06356958226,59.320317847911255,150.90916650389028,4.350775698968573,114.72412565876854,5.0,2015-08-18 00:00:00,2020-02-23 00:00:00,117.0
Volvo,Ariya,335.0,51193.452168860334,56.65226084430168,111.05303104330436,4.570107595943259,121.38387671182188,5.0,2019-05-14 00:00:00,2019-05-14 00:00:00,117.0
Rivian,Niro,313.0,30353.27784654589,82.45638923272946,148.47639782788295,6.306856404007511,105.70858550671556,5.0,2016-10-17 00:00:00,2016-10-17 00:00:00,81.0
Chevrolet,EQE,344.0,31803.129881372555,79.58564940686277,121.50285891913178,6.202217976421122,125.78909934951233,7.0,2015-08-18 00:00:00,2017-06-12 00:00:00,18.0
Tesla,XC40 Recharge,304.0,37291.60760900431,71.14803804502155,82.78035793380461,4.441970619241725,96.64657286250144,5.0,2019-06-30 00:00:00,2019-06-30 00:00:00,135.0
Kia,Model 3,270.0,52191.07787249562,41.37538936247808,132.0790695567827,3.419480807126347,94.780358093574,4.0,2016-07-25 00:00:00,2016-07-25 00:00:00,69.0
Chevrolet,EV6,340.0,85973.51389976648,73.92756949883236,61.09142644936698,3.603048771451512,149.05627630481865,5.0,2023-12-11 00:00:00,2023-12-11 00:00:00,27.0
Chevrolet,XC40 Recharge,255.0,70102.48380130543,74.9947603971053,217.79572598023097,6.057066720260971,141.97137968600606,5.0,2017-07-01 00:00:00,2017-07-01 00:00:00,20.0
Tesla,ID.Buzz,243.0,81413.85181096316,93.16425905481576,175.10421407446418,4.282418756297291,174.9697819748226,5.0,2015-07-11 00:00:00,2015-07-11 00:00:00,110.0
Rivian,F-150 Lightning,357.0,80067.73622687545,90.26368113437724,126.78147693378556,4.25328479728701,171.41571318536177,5.0,2021-05-25 00:00:00,2021-06-14 00:00:00,169.0
Ford,Bolt,282.0,30113.849612267943,57.15424806133972,61.56126005627115,6.085390292107471,95.47903109736129,5.0,2016-03-30 00:00:00,2016-03-30 00:00:00,82.0
Polestar,ID.Buzz,383.0,74463.7151415756,63.333575707878,150.72109758447098,3.4538025134694053,137.5649424335345,5.0,2022-09-23 00:00:00,2022-09-23 00:00:00,156.0
Hyundai,Q4 e-tron,342.0,73052.18164255953,72.50090821279768,150.38357929912613,4.922712540842284,117.478344639406,7.0,2017-05-14 00:00:00,2017-05-14 00:00:00,23.0
Jaguar,F-150 Lightning,278.0,55167.92595522119,73.84962977610596,170.91939291427047,4.718432923940809,115.72382890526956,5.0,2017-02-11 00:00:00,2017-02-11 00:00:00,97.0
Audi,Silverado EV,324.0,60155.71905124431,75.45560136795261,111.3310831920666,4.559812940942218,134.84166062268667,4.0,2016-10-14 00:00:00,2016-10-14 00:00:00,73.0
Lucid,ID.Buzz,426.0,72992.7756979541,91.79387848977052,160.50264580668414,3.841613245341577,167.61873688885092,5.0,2019-10-24 00:00:00,2019-10-24 00:00:00,105.0
Hyundai,i3,337.0,33357.375814732506,77.93187907366251,245.5317782924404,6.747249091840032,115.4790050337788,2.0,2016-10-15 00:00:00,2016-10-15 00:00:00,28.0
Audi,Q4 e-tron,329.0,39897.18107729842,74.9947603971053,124.01005197402064,5.558101721931728,96.3320345521101,5.0,2017-12-30 00:00:00,2017-12-30 00:00:00,107.0
